List,,,,
Width,Height,Length,Amount,Smig
45 mm,95 mm,905 mm,1,
45 mm,145 mm,905 mm,1,
45 mm,195 mm,905 mm,1,
45 mm,245 mm,550 mm,1,
45 mm,245 mm,905 mm,8,
45 mm,245 mm,1229 mm,2,
45 mm,245 mm,1510 mm,2,
